,sk_employee,sk_time,name,month,year,total_achieved_task_count,avg_achievement_gap,avg_performance_percentage,total_working_hours,total_working_day,total_permission_day,total_absent_day,grade_code,months_of_service,is_overdue,next_grade_code,next_salary,next_promotion_duration,date,forecast_avg_performance_percentage,forecast_avg_achievement_gap,forecast_total_achieved_task_count,forecast_total_working_hours,forecast_total_absent_day,cluster,cluster_label
0,17.0,24.0,"Cinthia Manullang, S.H.",3,2025,0.0,5.0,94.68,8.0,1.0,0.0,0.0,GRD001,42.0,1.0,GRD002,5000000.0,24.0,2025-03-01,94.68,5.0,0.0,8.0,0.0,2.0,Baik
1,5.0,6.0,Leo Utami,3,2025,0.0,4.0,95.06,10.0,1.0,0.0,0.0,GRD003,20.0,0.0,GRD003,8000000.0,36.0,2025-03-01,95.06,4.0,0.0,10.0,0.0,2.0,Baik
2,10.0,13.0,Tgk. Banawi Wacana,3,2025,0.0,5.0,93.9,8.0,1.0,0.0,0.0,GRD002,93.0,1.0,GRD003,8000000.0,36.0,2025-03-01,93.9,5.0,0.0,8.0,0.0,0.0,Cukup
3,22.0,30.0,Gada Gunawan,3,2025,0.0,7.0,92.47,9.0,1.0,0.0,0.0,GRD003,10.0,0.0,GRD003,8000000.0,36.0,2025-03-01,92.47,7.0,0.0,9.0,0.0,2.0,Baik
4,18.0,25.0,"Dt. Paiman Kusumo, S.Psi",3,2025,0.0,10.0,88.89,9.0,1.0,0.0,0.0,GRD005,54.0,0.0,GRD005,15000000.0,60.0,2025-03-01,88.89,10.0,0.0,9.0,0.0,2.0,Baik
5,21.0,28.0,Clara Laksmiwati,3,2025,0.0,6.0,94.0,10.0,1.0,0.0,0.0,GRD004,117.0,1.0,GRD005,15000000.0,60.0,2025-03-01,94.0,6.0,0.0,10.0,0.0,0.0,Cukup
6,23.0,31.0,Panca Lazuardi,3,2025,0.0,8.0,91.49,9.0,1.0,0.0,0.0,GRD005,96.0,1.0,GRD005,15000000.0,60.0,2025-03-01,91.49,8.0,0.0,9.0,0.0,0.0,Cukup
7,20.0,27.0,Ir. Elma Irawan,3,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD001,88.0,1.0,GRD002,5000000.0,24.0,2025-03-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
8,11.0,15.0,Balijan Wulandari,3,2025,0.0,1.0,98.95,8.0,1.0,0.0,0.0,GRD005,68.0,1.0,GRD005,15000000.0,60.0,2025-03-01,98.95,1.0,0.0,8.0,0.0,0.0,Cukup
9,16.0,22.0,Carla Dabukke,3,2025,0.0,4.0,95.65,9.0,1.0,0.0,0.0,GRD001,62.0,1.0,GRD002,5000000.0,24.0,2025-03-01,95.65,4.0,0.0,9.0,0.0,2.0,Baik
10,4.0,5.0,Sabrina Yulianti,3,2025,0.0,2.0,97.75,9.0,1.0,0.0,0.0,GRD003,92.0,1.0,GRD004,12000000.0,48.0,2025-03-01,97.75,2.0,0.0,9.0,0.0,0.0,Cukup
11,9.0,12.0,"KH. Cemplunk Pertiwi, M.Ak",3,2025,0.0,5.0,93.9,9.0,1.0,0.0,0.0,GRD005,54.0,0.0,GRD005,15000000.0,60.0,2025-03-01,93.9,5.0,0.0,9.0,0.0,2.0,Baik
12,1.0,1.0,Ulva Simanjuntak,3,2025,0.0,6.0,92.59,9.0,1.0,0.0,0.0,GRD001,60.0,1.0,GRD002,5000000.0,24.0,2025-03-01,92.59,6.0,0.0,9.0,0.0,2.0,Baik
13,3.0,3.0,Tina Putra,3,2025,0.0,9.0,89.02,8.0,1.0,0.0,0.0,GRD002,105.0,1.0,GRD003,8000000.0,36.0,2025-03-01,89.02,9.0,0.0,8.0,0.0,0.0,Cukup
14,6.0,8.0,Raina Saptono,3,2025,0.0,5.0,95.0,9.0,1.0,0.0,0.0,GRD005,84.0,1.0,GRD005,15000000.0,60.0,2025-03-01,95.0,5.0,0.0,9.0,0.0,0.0,Cukup
15,7.0,10.0,Maria Gunawan,3,2025,0.0,1.0,98.96,10.0,1.0,0.0,0.0,GRD004,20.0,0.0,GRD004,12000000.0,48.0,2025-03-01,98.96,1.0,0.0,10.0,0.0,2.0,Baik
16,8.0,11.0,Irma Jailani,3,2025,0.0,5.0,94.38,8.0,1.0,0.0,0.0,GRD005,6.0,0.0,GRD005,15000000.0,60.0,2025-03-01,94.38,5.0,0.0,8.0,0.0,2.0,Baik
17,13.0,17.0,"Tgk. Bambang Mandasari, S.H.",3,2025,0.0,5.0,93.75,9.0,1.0,0.0,0.0,GRD005,100.0,1.0,GRD005,15000000.0,60.0,2025-03-01,93.75,5.0,0.0,9.0,0.0,0.0,Cukup
18,15.0,20.0,Tari Zulkarnain,3,2025,0.0,1.0,99.0,9.0,1.0,0.0,0.0,GRD001,90.0,1.0,GRD002,5000000.0,24.0,2025-03-01,99.0,1.0,0.0,9.0,0.0,0.0,Cukup
19,19.0,26.0,"Prasetyo Padmasari, M.Farm",3,2025,0.0,8.0,90.0,9.0,1.0,0.0,0.0,GRD002,29.0,1.0,GRD003,8000000.0,36.0,2025-03-01,90.0,8.0,0.0,9.0,0.0,2.0,Baik
20,2.0,2.0,Arta Maryati,3,2025,0.0,9.0,90.62,9.0,1.0,0.0,0.0,GRD005,46.0,0.0,GRD005,15000000.0,60.0,2025-03-01,90.62,9.0,0.0,9.0,0.0,2.0,Baik
21,14.0,19.0,Hamima Ramadan,3,2025,0.0,3.0,96.39,9.0,1.0,0.0,0.0,GRD005,48.0,0.0,GRD005,15000000.0,60.0,2025-03-01,96.39,3.0,0.0,9.0,0.0,2.0,Baik
22,12.0,16.0,Bakiono Kusumo,3,2025,0.0,8.0,90.12,9.0,1.0,0.0,0.0,GRD004,112.0,1.0,GRD005,15000000.0,60.0,2025-03-01,90.12,8.0,0.0,9.0,0.0,0.0,Cukup
23,50.0,61.0,Shakila Sihombing,4,2025,1.0,0.0,100.0,9.0,1.0,0.0,0.0,GRD001,61.0,1.0,GRD002,5000000.0,24.0,2025-04-01,100.0,0.0,1.0,9.0,0.0,1.0,Sangat Baik
24,33.0,42.0,Jamalia Nurdiyanti,4,2025,0.0,10.0,89.13,10.0,1.0,0.0,0.0,GRD001,99.0,1.0,GRD002,5000000.0,24.0,2025-04-01,89.13,10.0,0.0,10.0,0.0,0.0,Cukup
