sk_employee,sk_time,name,month,year,total_achieved_task_count,avg_achievement_gap,avg_performance_percentage,total_working_hours,total_working_day,total_permission_day,total_absent_day,grade_code,months_of_service,is_overdue,next_grade_code,next_salary,next_promotion_duration,cluster,cluster_label
17,24,"Cinthia Manullang, S.H.",3,2025,0,5,94.68,8,1,0,0,GRD001,42,1,GRD002,5000000,24,2,Baik
58,69,Okto Prasasta,5,2025,0,3,96.88,8,1,0,0,GRD005,38,0,GRD005,15000000,60,2,Baik
33,42,Jamalia Nurdiyanti,4,2025,0,10,89.13,10,1,0,0,GRD001,99,1,GRD002,5000000,24,0,Cukup
68,80,Belinda Sihombing,5,2025,1,0,100.0,9,1,0,0,GRD003,82,1,GRD004,12000000,48,1,Sangat Baik
34,43,"R. Oliva Oktaviani, S.T.",4,2025,0,1,98.85,8,1,0,0,GRD003,90,1,GRD004,12000000,48,0,Cukup
42,52,"KH. Carub Saputra, S.Pd",4,2025,0,2,97.83,9,1,0,0,GRD004,74,1,GRD005,15000000,60,0,Cukup
38,48,Okto Wacana,4,2025,0,5,94.74,10,1,0,0,GRD003,26,0,GRD003,8000000,36,2,Baik
11,15,Balijan Wulandari,3,2025,0,1,98.95,8,1,0,0,GRD005,68,1,GRD005,15000000,60,0,Cukup
47,58,drg. Kasiyah Mandasari,4,2025,0,8,91.3,9,1,0,0,GRD004,18,0,GRD004,12000000,48,2,Baik
83,97,dr. Leo Laksita,6,2025,0,1,98.88,9,1,0,0,GRD002,85,1,GRD003,8000000,36,0,Cukup
45,55,Artawan Tamba,4,2025,1,0,100.0,8,1,0,0,GRD004,62,1,GRD005,15000000,60,1,Sangat Baik
5,6,Leo Utami,3,2025,0,4,95.06,10,1,0,0,GRD003,20,0,GRD003,8000000,36,2,Baik
62,73,Naradi Prasetyo,5,2025,1,0,100.0,9,1,0,0,GRD002,82,1,GRD003,8000000,36,1,Sangat Baik
50,61,Shakila Sihombing,4,2025,1,0,100.0,9,1,0,0,GRD001,61,1,GRD002,5000000,24,1,Sangat Baik
24,32,Jaswadi Susanti,4,2025,0,6,93.33,9,1,0,0,GRD001,93,1,GRD002,5000000,24,0,Cukup
54,65,"Tirta Firgantoro, M.TI.",5,2025,0,10,88.1,9,1,0,0,GRD005,120,1,GRD005,15000000,60,0,Cukup
4,5,Sabrina Yulianti,3,2025,0,2,97.75,9,1,0,0,GRD003,92,1,GRD004,12000000,48,0,Cukup
44,54,"Titi Yolanda, S.Sos",4,2025,0,1,98.85,10,1,0,0,GRD005,105,1,GRD005,15000000,60,0,Cukup
51,62,Diah Wibowo,5,2025,0,1,98.88,8,1,0,0,GRD003,99,1,GRD004,12000000,48,0,Cukup
79,93,Intan Wahyudin,6,2025,0,3,96.74,8,1,0,0,GRD005,103,1,GRD005,15000000,60,0,Cukup
70,83,Hj. Agnes Situmorang,5,2025,0,3,96.34,9,1,0,0,GRD004,90,1,GRD005,15000000,60,0,Cukup
100,115,"Ira Sirait, M.Pd",6,2025,0,7,92.93,8,1,0,0,GRD002,114,1,GRD003,8000000,36,0,Cukup
3,3,Tina Putra,3,2025,0,9,89.02,8,1,0,0,GRD002,105,1,GRD003,8000000,36,0,Cukup
6,8,Raina Saptono,3,2025,0,5,95.0,9,1,0,0,GRD005,84,1,GRD005,15000000,60,0,Cukup
61,72,Dinda Nasyiah,5,2025,0,5,94.74,9,1,0,0,GRD003,14,0,GRD003,8000000,36,2,Baik
59,70,Intan Thamrin,5,2025,0,3,96.59,9,1,0,0,GRD005,58,0,GRD005,15000000,60,2,Baik
25,34,Halima Nainggolan,4,2025,0,9,89.77,10,1,0,0,GRD001,116,1,GRD002,5000000,24,0,Cukup
95,109,Abyasa Setiawan,6,2025,0,6,93.48,9,1,0,0,GRD005,39,0,GRD005,15000000,60,2,Baik
15,20,Tari Zulkarnain,3,2025,0,1,99.0,9,1,0,0,GRD001,90,1,GRD002,5000000,24,0,Cukup
32,41,"drg. Ajiono Waskita, S.Pt",4,2025,0,5,93.75,8,1,0,0,GRD003,103,1,GRD004,12000000,48,0,Cukup
69,81,Balijan Ardianto,5,2025,0,9,89.41,0,0,0,1,GRD005,120,1,GRD005,15000000,60,3,Tidak Aktif
49,60,"Ir. Cici Hasanah, S.Pt",4,2025,0,7,92.63,8,1,0,0,GRD002,19,0,GRD002,5000000,24,2,Baik
37,47,drg. Dalima Wibisono,4,2025,0,5,94.57,8,1,0,0,GRD001,100,1,GRD002,5000000,24,0,Cukup
14,19,Hamima Ramadan,3,2025,0,3,96.39,9,1,0,0,GRD005,48,0,GRD005,15000000,60,2,Baik
90,104,Ratih Sitorus,6,2025,1,0,100.0,9,1,0,0,GRD003,95,1,GRD004,12000000,48,1,Sangat Baik
