"sk_employee","sk_time","name","month","year","total_achieved_task_count","avg_achievement_gap","avg_performance_percentage","total_working_hours","total_working_day","total_permission_day","total_absent_day","grade_code","months_of_service","is_overdue","next_grade_code","next_salary","next_promotion_duration"
"17","24","Cinthia Manullang, S.H.","3","2025","0","5","94.6800000000000000","8","1","0","0","GRD001","42","1","GRD002","5000000","24"
"58","69","Okto Prasasta","5","2025","0","3","96.8800000000000000","8","1","0","0","GRD005","38","0","GRD005","15000000","60"
"33","42","Jamalia Nurdiyanti","4","2025","0","10","89.1300000000000000","10","1","0","0","GRD001","99","1","GRD002","5000000","24"
"68","80","Belinda Sihombing","5","2025","1","0","100.0000000000000000","9","1","0","0","GRD003","82","1","GRD004","12000000","48"
"34","43","R. Oliva Oktaviani, S.T.","4","2025","0","1","98.8500000000000000","8","1","0","0","GRD003","90","1","GRD004","12000000","48"
"42","52","KH. Carub Saputra, S.Pd","4","2025","0","2","97.8300000000000000","9","1","0","0","GRD004","74","1","GRD005","15000000","60"
"38","48","Okto Wacana","4","2025","0","5","94.7400000000000000","10","1","0","0","GRD003","26","0","GRD003","8000000","36"
"11","15","Balijan Wulandari","3","2025","0","1","98.9500000000000000","8","1","0","0","GRD005","68","1","GRD005","15000000","60"
"47","58","drg. Kasiyah Mandasari","4","2025","0","8","91.3000000000000000","9","1","0","0","GRD004","18","0","GRD004","12000000","48"
"83","97","dr. Leo Laksita","6","2025","0","1","98.8800000000000000","9","1","0","0","GRD002","85","1","GRD003","8000000","36"
"45","55","Artawan Tamba","4","2025","1","0","100.0000000000000000","8","1","0","0","GRD004","62","1","GRD005","15000000","60"
"5","6","Leo Utami","3","2025","0","4","95.0600000000000000","10","1","0","0","GRD003","20","0","GRD003","8000000","36"
"62","73","Naradi Prasetyo","5","2025","1","0","100.0000000000000000","9","1","0","0","GRD002","82","1","GRD003","8000000","36"
"50","61","Shakila Sihombing","4","2025","1","0","100.0000000000000000","9","1","0","0","GRD001","61","1","GRD002","5000000","24"
